moves,runtime(in seconds)
1007,0.0839
991,0.0930
2905,0.4600
1271,0.0995
1514,0.1811
1349,0.1472
378,0.0301
641,0.0454
1836,0.2040
1052,0.1393
627,0.0486
1061,0.0835
446,0.0351
1140,0.1066
1094,0.0869
1154,0.1714
778,0.0729
676,0.0655
689,0.0584
936,0.0923
490,0.0356
1839,0.1862
447,0.0376
327,0.0239
1083,0.1360
1740,0.2051
429,0.0396
1136,0.1206
284,0.0242
979,0.0661
391,0.0437
1189,0.1482
629,0.0727
726,0.0646
753,0.0804
1093,0.1276
1572,0.2556
1497,0.1508
294,0.0196
2068,0.2379
1687,0.1929
1332,0.1707
453,0.0523
1149,0.1533
1142,0.1087
1065,0.1073
773,0.0697
1358,0.1195
524,0.0489
1449,0.1572
1448,0.1864
2078,0.2680
952,0.1111
707,0.0554
919,0.0747
375,0.0379
627,0.0623
1789,0.2736
1248,0.1436
2554,0.4666
470,0.0590
881,0.0849
932,0.0799
1920,0.2105
753,0.0725
1480,0.1796
1679,0.1803
1826,0.3243
1230,0.1639
1131,0.0965
1042,0.1069
1404,0.2112
388,0.0301
533,0.0505
1408,0.2011
557,0.0634
768,0.0815
1561,0.1333
224,0.0186
1420,0.1326
654,0.0716
900,0.0791
1206,0.1333
513,0.0726
1454,0.2095
492,0.0618
2416,0.4485
926,0.1268
2321,0.3691
547,0.0577
1522,0.2183
2601,0.7374
994,0.1341
546,0.0519
1032,0.1127
1053,0.0946
1774,0.1814
2139,0.3974
360,0.0253
1774,0.1846
1612,0.1418
1013,0.1140
740,0.0645
718,0.0643
1652,0.1617
931,0.0668
962,0.0896
1002,0.1116
1831,0.2033
603,0.0529
891,0.1076
1457,0.1377
1418,0.1674
1378,0.1360
649,0.0645
1378,0.1458
1410,0.1375
1202,0.1152
380,0.0273
1538,0.1535
599,0.0561
338,0.0274
2682,0.3079
1337,0.1306
1236,0.1280
921,0.0783
601,0.0540
1960,0.2618
1174,0.0860
2956,0.5214
1041,0.1009
549,0.0426
1812,0.3595
803,0.0804
2169,0.3061
1428,0.1533
1026,0.1032
791,0.0699
308,0.0260
1755,0.2239
506,0.0518
1066,0.1025
624,0.0522
1063,0.1434
1734,0.2819
1083,0.1315
655,0.0483
493,0.0415
746,0.0719
1103,0.1145
240,0.0224
2104,0.4655
1356,0.1954
1261,0.1393
737,0.0602
2022,0.2899
501,0.0522
1341,0.2229
315,0.0259
1375,0.1419
910,0.0886
561,0.0411
1091,0.1180
630,0.0693
1480,0.2241
231,0.0168
885,0.0850
1126,0.1206
