moves,runtime(in seconds)
12419,1.2292
2941,0.3311
11965,1.0387
13552,1.1647
8942,1.0024
5447,0.3988
3211,0.2473
1873,0.1405
6867,0.5261
15770,1.2255
3825,0.2894
3800,0.2894
1527,0.1173
2445,0.1862
2391,0.1915
3113,0.2431
1923,0.1537
2955,0.2227
10874,0.8276
1531,0.1163
1924,0.1515
11096,0.8720
7452,0.5762
1821,0.1429
895,0.0813
7728,0.5954
6345,0.4875
8743,0.6622
584,0.0454
1600,0.1240
11814,0.8774
6025,0.4689
19891,1.5147
11699,0.8910
1300,0.1032
25506,1.9397
4693,0.3465
1115,0.0848
21382,1.6116
3748,0.2906
7864,0.5927
3415,0.2554
702,0.0543
544,0.0430
3114,0.2316
20242,1.5367
671,0.0512
12936,0.9552
1114,0.0884
13857,1.1851
14429,1.3805
11752,1.1012
16506,2.2284
6962,1.0460
3598,0.4988
4661,0.5375
6340,0.5270
28935,2.5201
3421,0.2999
2041,0.1817
4690,0.4198
17896,1.5681
6049,0.7614
2523,0.3037
1304,0.1092
5003,0.4215
6882,0.8317
65556,7.3069
4205,0.5863
4527,0.8149
15421,1.3132
8330,0.6898
4740,0.3991
8880,0.7837
5493,0.4771
12685,1.1066
5392,0.4505
18322,1.5353
9109,0.8231
2259,0.1909
11680,0.9559
531,0.0469
5700,0.4972
6233,0.5964
2892,0.2204
4279,0.3155
960,0.0763
1477,0.1134
3637,0.2734
8473,0.6441
5179,0.4616
17255,1.4541
12622,1.1636
7884,0.6529
13501,1.0744
5000,0.3766
1659,0.1235
2422,0.1939
28816,2.5508
19158,1.6105
10300,0.8306
2128,0.1742
2495,0.1898
13931,1.0469
7551,0.6381
33296,2.6498
13339,1.0703
6323,0.4968
6838,0.5756
32038,2.8899
16095,1.4134
3775,0.3356
1543,0.1834
23925,2.0357
8926,0.7724
37937,3.2199
12843,1.0346
243,0.0295
17065,1.5596
3813,0.2960
1089,0.0848
8173,0.6309
14381,1.1934
7967,0.6822
4958,0.4973
13784,1.2669
4094,0.3564
7423,0.6910
15040,1.2358
3898,0.3086
1064,0.0899
6721,0.5660
3341,0.2697
818,0.0792
6279,0.6183
3840,0.2905
9848,0.7721
5130,0.3989
3235,0.2502
7933,0.6310
10028,0.8120
656,0.0549
3549,0.2901
3225,0.2530
2510,0.2037
4598,0.3656
9626,0.7517
5403,0.4359
18249,1.4083
4874,0.3872
5838,0.4547
5451,0.4384
9522,0.7309
797,0.0709
2134,0.1613
2615,0.2134
9568,0.7993
4343,0.3796
18084,1.4514
10844,0.8774
2761,0.2150
8861,0.7018
30506,2.4147
36959,2.8866
4866,0.3914
6396,0.5054
7660,0.5914
603,0.0511
14953,1.1489
14738,1.1272
3969,0.3202
18724,1.4871
3207,0.2525
20679,1.5633
3561,0.2668
14066,1.0730
6965,0.5509
1377,0.1106
3158,0.2399
819,0.0684
14058,1.1039
8509,0.6612
27515,2.4235
798,0.0755
4389,0.4045
1728,0.1690
10225,0.8492
12567,1.0258
4211,0.3709
17167,1.2630
274,0.0292
12275,0.9281
5162,0.3914
2440,0.1854
29588,2.2803
6817,0.6125
14051,1.3622
3863,0.3415
10447,0.7872
13903,1.0467
17571,1.4798
447,0.0457
2771,0.2314
1422,0.1210
781,0.0684
826,0.0574
7117,0.5543
3719,0.2662
7169,0.5364
23843,1.7464
3999,0.3010
1046,0.0870
3363,0.3388
4697,0.3535
12106,0.9753
1767,0.1807
5142,0.5415
907,0.0900
1528,0.1592
2395,0.2726
2626,0.2778
11831,1.2272
9251,0.8567
31412,2.8583
1084,0.0867
5442,0.4559
3826,0.2921
19387,1.4672
941,0.0732
8326,0.6353
4537,0.3475
4583,0.3407
8152,0.6165
2928,0.2135
4364,0.3411
2932,0.2371
30472,2.6866
15976,1.5679
3428,0.2681
2843,0.2108
21932,1.6211
17543,1.3226
13386,0.9848
4050,0.2984
9267,0.7112
36490,2.7454
1505,0.1240
15056,1.1432
3064,0.2344
24043,1.7863
18915,1.4199
2655,0.2044
1356,0.1000
9729,0.7394
6691,0.4885
20670,1.5565
19286,1.4223
6996,0.5310
28926,2.0823
2806,0.2019
2849,0.2164
7491,0.5615
6616,0.4806
17719,1.2736
1102,0.0791
4787,0.3686
4935,0.3705
14186,1.1117
17143,1.5565
2566,0.3091
8926,0.8783
12158,1.2219
12624,1.2511
11320,0.9455
17903,1.5547
922,0.1401
4339,0.3697
35708,2.9081
738,0.0666
3714,0.2906
3617,0.2840
29421,2.3454
1795,0.1463
6732,0.5754
44571,3.6607
24597,2.0547
1483,0.1188
10702,0.8633
36361,2.8786
16514,1.3985
19889,1.8508
11795,0.9072
2696,0.2093
4813,0.4977
10833,1.0619
26470,2.5548
2040,0.1708
9648,0.7542
33555,2.5580
19602,1.5004
7888,0.6248
8662,0.8390
5524,0.5318
841,0.1160
15536,1.5140
1147,0.0942
13356,1.1805
812,0.0870
1342,0.1138
12849,0.9806
6663,0.5389
13026,1.0121
4138,0.4816
4580,0.4462
12091,1.0917
7300,0.7566
31568,2.6295
7068,0.7077
8156,0.7887
4215,0.3885
3327,0.2738
2845,0.2191
4790,0.3679
17047,1.6070
8770,0.8909
5778,0.4477
4221,0.4176
9751,0.8083
8348,0.6577
23513,1.9377
2073,0.1499
10071,0.7942
430,0.0492
27934,2.3008
26834,2.2557
556,0.0670
5009,0.4182
13288,1.1356
5769,0.4662
15583,1.1878
20537,1.5998
11167,0.8689
4814,0.3969
5809,0.5174
3526,0.3109
6025,0.4915
10190,0.7819
3146,0.2555
4325,0.4214
10698,1.0119
20950,2.1470
18966,1.6660
411,0.0396
8819,0.7421
17465,1.9246
5414,0.4532
6854,0.5401
715,0.0679
6718,0.6636
13855,1.1911
1576,0.1491
1749,0.1466
8796,0.7060
11992,0.9672
811,0.0822
10587,0.8456
22225,1.8043
4586,0.4237
5949,0.4736
7187,0.5928
10917,0.8642
7424,0.5958
18308,1.6057
9461,0.7628
4388,0.3955
21359,1.9801
24764,1.9771
23716,1.8156
38542,3.8396
31937,2.4800
31921,2.8809
10866,0.9715
2150,0.1725
9295,0.9378
10421,1.0834
24665,2.2604
12397,0.9485
1993,0.1590
4454,0.3727
3473,0.2721
36009,2.7824
18113,1.3905
22517,1.7498
5212,0.5048
1102,0.1198
16797,1.4653
7281,0.5569
12016,0.9353
1849,0.1532
268,0.0310
11077,1.1294
15085,1.4132
5541,0.5168
600,0.0521
6166,0.4782
16006,1.3029
9776,0.7742
24737,2.4636
12875,1.0535
16941,1.3956
17641,1.3614
7203,0.5656
1271,0.1048
26009,1.9912
4611,0.3799
6940,0.5854
395,0.0413
1854,0.1451
8792,0.6994
307,0.0356
499,0.0486
2062,0.1670
4992,0.4092
2621,0.2339
29137,2.4785
14953,1.4545
8717,0.7425
4574,0.3869
11565,1.0658
12797,1.1331
4227,0.3721
8662,0.7607
3658,0.2995
4318,0.4307
2375,0.2267
9049,0.9698
3131,0.2894
10637,1.0655
20414,1.6745
10488,0.8174
3990,0.3127
4071,0.3227
12402,0.9641
16940,1.6015
5036,0.5030
7157,0.6530
3190,0.2455
8185,0.8960
2396,0.2439
3384,0.2656
3195,0.2758
4008,0.4239
1359,0.1096
9347,0.9069
12324,0.9862
10848,0.9578
2889,0.2332
20368,1.9916
2213,0.2284
13267,1.1203
4848,0.4290
4745,0.3709
451,0.0454
3266,0.3401
15334,1.3549
16669,1.7547
17957,1.6656
26466,2.1734
24633,2.5933
9199,0.9024
4889,0.4734
3389,0.3880
4545,0.3823
4013,0.3551
2827,0.2581
11281,1.0643
7622,0.6201
1216,0.1088
7157,0.6538
20631,1.6580
2578,0.2208
17947,1.6075
11754,0.9992
7128,0.5737
2589,0.2647
2566,0.2921
14505,1.4747
3552,0.3627
3872,0.3622
1613,0.1545
2762,0.2492
13481,1.3902
3887,0.5020
8503,0.8955
824,0.1047
5999,0.6213
1638,0.1983
2378,0.2178
8768,0.7431
9440,0.9016
955,0.0931
18403,1.9161
2766,0.2277
2017,0.1639
2739,0.2108
4364,0.3922
3081,0.2343
8003,0.7122
6254,0.6286
5771,0.6149
4241,0.4319
2954,0.2739
1284,0.1739
665,0.0768
4846,0.4201
1448,0.1915
9420,0.8413
13435,1.3988
21399,1.6639
391,0.0393
16506,1.4965
3127,0.2622
9098,0.8547
18725,1.5374
519,0.0605
13009,1.3997
4707,0.6534
1582,0.1374
7121,0.6859
10420,1.1667
9084,0.8329
1248,0.1343
27350,2.3562
1121,0.1004
4059,0.4606
1389,0.2036
4935,0.6010
3383,0.3417
4065,0.4762
4275,0.3608
6976,0.6058
3881,0.2901
12830,0.9878
33924,2.9365
5225,0.6623
2572,0.2742
1606,0.1280
9465,0.7956
2382,0.2224
23403,2.1806
11600,0.9096
2333,0.1893
24360,2.1137
14454,1.1649
1404,0.2015
9822,0.8416
7035,0.7092
5689,0.4874
426,0.0412
16980,1.3207
24235,1.8433
1998,0.1646
19841,1.5127
23727,2.0162
25103,2.0552
22537,2.2359
2507,0.2526
3930,0.3361
5785,0.5096
20988,1.6314
25342,1.8894
4928,0.4026
1137,0.0992
12623,1.0365
8000,0.6975
2062,0.1739
7908,1.0914
7757,0.8732
15063,1.3581
8496,0.7382
5404,0.4564
626,0.0649
6438,0.5467
4042,0.3261
14154,1.1577
20398,1.6161
305,0.0495
1763,0.2261
2643,0.3556
13304,1.2852
4665,0.3954
1100,0.0887
24978,2.2486
14214,1.3096
2681,0.2435
9618,0.9551
13489,1.0575
14653,1.4301
863,0.0839
6072,0.7569
630,0.0691
8232,0.6868
3038,0.2693
916,0.0829
1001,0.0853
3783,0.3155
9764,0.7964
15343,1.2187
11306,0.9287
11439,1.0458
10904,0.9892
10799,1.0626
2483,0.2183
9353,0.8072
9333,0.8933
30292,2.8471
5171,0.4848
8246,0.8311
9462,0.8718
5798,0.5191
2532,0.2063
14186,1.2027
31204,2.5002
10468,0.9271
4498,0.4100
3710,0.3902
14006,1.1512
9679,0.8480
2114,0.1913
1186,0.1081
19553,1.8225
929,0.1014
3551,0.3685
14899,1.1930
1283,0.1090
10604,0.9625
7026,0.7249
1196,0.1628
13312,1.2453
3106,0.2574
1297,0.1077
17556,1.5889
18348,1.5340
14186,1.3665
400,0.0407
7555,0.6728
1552,0.1599
3975,0.3005
6921,0.6557
3881,0.3026
4067,0.4316
4373,0.4192
1683,0.1501
1715,0.2442
17717,1.4232
1249,0.1092
11464,0.8951
1382,0.1182
15923,1.2613
3028,0.2464
6758,0.5375
423,0.0448
15803,1.2249
9913,0.8094
13041,1.0240
3753,0.2904
6908,0.5512
4405,0.3583
3906,0.3102
2006,0.1750
2112,0.1685
7281,0.5889
18297,1.4166
6367,0.5319
6573,0.5499
833,0.0801
281,0.0293
6069,0.5855
5734,0.5464
23974,1.8703
9064,0.7412
1452,0.1205
4705,0.3889
3282,0.2609
25208,1.9842
8937,0.7406
2049,0.1587
12594,0.9921
6562,0.5274
13475,1.0698
5049,0.4189
6519,0.5224
1898,0.1592
19904,1.5458
11513,0.8887
4151,0.3309
805,0.0877
18576,1.4433
2826,0.2259
823,0.0720
6983,0.5521
3898,0.3246
1225,0.1191
17335,1.3270
1359,0.1144
33092,2.5184
18141,1.3755
16488,1.2696
5769,0.4927
20926,1.6089
12039,0.9215
1059,0.0944
2476,0.1930
1181,0.1045
8163,0.6167
4739,0.3871
2517,0.1992
4608,0.3650
7235,0.5750
6945,0.5552
9302,0.7169
7070,0.5769
3805,0.2811
1305,0.1090
1027,0.0846
7493,0.6068
29366,2.2328
15232,1.2171
21135,1.7098
6962,0.5665
4279,0.3324
9678,0.7821
4689,0.3732
9412,0.7403
4021,0.2939
684,0.0542
4543,0.3796
3203,0.2592
53851,4.0216
11909,0.9107
5727,0.4609
35773,2.7517
8305,0.6664
22405,1.6966
14460,1.1037
30915,2.3581
335,0.0327
5416,0.4432
5811,0.4774
16038,1.2714
10524,0.8372
2466,0.1897
1865,0.1496
27259,2.0638
5665,0.4583
15762,1.2331
3689,0.2950
6310,0.5112
13439,1.0588
8813,0.7075
4424,0.3448
22693,1.7350
9771,0.7948
9438,0.7221
26102,2.0667
8874,0.7218
11191,0.8731
547,0.0510
3908,0.2992
2701,0.2113
476,0.0517
1407,0.1166
5099,0.4258
2247,0.1717
20915,1.5971
68000,5.1230
4053,0.3042
7855,0.6510
2491,0.2004
5011,0.4211
13033,1.0234
33458,2.5564
1191,0.1104
28051,2.1276
5287,0.4417
14493,1.1216
18235,1.4054
2339,0.1903
7566,0.6224
2893,0.2282
1814,0.1587
1399,0.1134
18360,1.4021
1085,0.0917
3132,0.2483
14077,1.0942
18706,1.4374
960,0.0802
1515,0.1229
2589,0.1972
4110,0.3385
4141,0.3681
1170,0.1059
5468,0.4391
1846,0.1587
1736,0.1357
2339,0.1774
6870,0.5410
27629,2.1156
20069,1.5265
7777,0.6545
5352,0.5213
6351,0.6485
43436,5.7812
17948,1.6805
12230,1.2025
21125,2.8134
265,0.0351
4911,0.4521
1813,0.1662
8847,0.7467
24648,3.3592
16387,1.9077
27245,3.5507
29575,2.6960
14758,1.3372
8435,0.7433
8597,0.9119
2435,0.2398
14211,1.3522
2755,0.2695
1992,0.1673
13827,1.3013
1302,0.1104
3605,0.2885
26817,2.3145
7635,0.6608
1445,0.1326
1716,0.1517
2499,0.1899
13716,1.1594
14250,1.2742
8969,0.7363
38271,2.9994
8633,0.7850
4758,0.3940
8860,0.7460
1932,0.2103
1879,0.1616
1395,0.1082
2222,0.1731
1959,0.1510
4337,0.4128
4336,0.3438
1306,0.1841
2510,0.2109
20883,1.6723
12600,0.9548
4006,0.3011
7248,0.5739
1192,0.0995
3143,0.2515
9193,0.6969
1960,0.1534
1423,0.1098
12727,1.0128
37935,2.9707
4825,0.3766
20733,1.6897
1687,0.1315
7287,0.5724
759,0.0638
17513,1.3003
1442,0.1135
4483,0.3530
2743,0.2295
11228,0.8637
4747,0.4720
5291,0.4126
6825,0.5610
3799,0.2820
8775,0.6882
8157,0.6606
3497,0.2884
2563,0.2172
9287,0.8918
8320,0.7461
3580,0.2729
17351,1.3303
9774,0.7854
