moves,runtime(in seconds)
23983,1.8694
1426,0.1131
8174,0.6595
33967,2.7713
18470,1.4170
42709,3.3272
8394,0.7283
15843,1.4206
2306,0.2427
6928,0.7395
6105,0.5877
10415,0.9662
30118,2.5163
964,0.0794
10107,0.9865
3945,0.3485
7151,0.6086
21356,1.8254
27617,2.2952
43831,3.5242
25591,2.0666
18838,1.7144
82165,6.9133
15787,1.2920
9000,0.8167
17855,1.4641
31243,2.4855
32912,2.6698
17106,1.4161
23571,2.2366
12122,1.0866
38849,3.4196
35632,3.0593
6015,0.5693
18937,1.6551
40474,3.4247
77492,6.8484
24299,2.3408
70690,6.0301
26437,2.1712
9009,0.7750
46529,3.9144
53593,4.3367
7052,0.5682
44971,3.5887
1406,0.1175
16068,1.4023
21402,1.6786
50945,3.8744
12560,1.1011
25824,2.1787
18810,1.8160
16491,1.3691
5546,0.4260
11317,0.8751
20794,1.6098
27607,2.0886
9251,0.7111
52847,4.3222
17532,1.3622
13697,1.0725
87475,7.2966
21498,1.8290
14222,1.1792
2643,0.2166
2425,0.2073
8523,0.7576
11913,1.0104
31830,2.7794
8090,0.6703
27853,2.4531
10608,0.8949
5357,0.4511
7456,0.7165
24924,2.0306
22099,1.9077
31532,2.7767
36502,2.8824
1420,0.1154
10176,0.8275
5990,0.4818
4453,0.4099
11004,0.9647
28413,2.3664
71204,5.9467
35796,2.7713
11416,0.9555
6710,0.5485
12496,1.1166
7168,0.6613
10780,0.9248
16067,1.2591
12745,1.1101
1605,0.1375
7932,0.6787
27649,2.2769
45780,3.7727
11202,0.9510
67540,5.7322
24561,2.0876
45239,3.8848
3938,0.3492
20314,1.6751
21842,1.7886
3182,0.2716
1821,0.1521
26309,2.1559
55037,4.5536
7080,0.5481
3885,0.2999
9449,0.7383
40327,3.1229
3975,0.3137
17028,1.3551
15727,1.2932
17828,1.5269
3514,0.2894
29606,2.3867
26404,2.2290
3866,0.3163
3458,0.2925
40111,3.4016
38081,3.1397
7401,0.6378
30242,2.6735
7890,0.6987
11523,1.0855
9177,0.7502
8342,0.6799
34935,2.8475
19783,1.5764
156990,12.853
15850,1.5190
25614,2.5393
7390,0.6542
21433,1.8297
36560,3.2418
7521,0.7233
13319,1.1740
568,0.0546
99904,8.9465
28230,2.4052
14419,1.2674
33163,2.8172
12646,1.1487
14602,1.2418
8432,0.6576
46978,3.8044
47200,3.9294
