moves,runtime(in seconds)
22382,2.6470
16979,1.9769
17137,2.1684
23552,2.9942
71627,9.5022
18272,2.5061
33198,4.3087
30756,4.0245
146796,17.164
5431,0.6515
4539,0.5573
43242,5.0738
29159,3.6591
46504,5.6471
134526,16.552
27085,3.3478
71143,8.7488
92002,12.038
40227,5.2457
10137,1.3800
20251,2.9077
73670,9.2323
19943,2.5779
58298,6.7531
114610,13.492
70605,8.3997
87612,11.210
44421,5.6852
43118,5.5046
67181,8.0949
28930,3.4199
76169,8.9547
32227,3.8133
32455,3.7946
19238,2.5699
16356,2.0852
51440,5.9118
50066,5.9419
49039,5.6180
37204,4.3765
37461,4.3812
65866,7.7088
36851,4.7829
125228,14.975
14240,1.6699
53354,6.2649
90681,11.281
68898,8.0941
99348,11.705
34148,4.0360
31467,3.7872
74808,9.4693
60746,7.9915
61913,7.6068
73454,8.6189
73443,8.7023
25715,2.9887
65744,7.6015
100706,11.746
18865,2.2447
76501,8.9491
59934,7.0413
126758,14.727
24757,2.9558
29920,3.5611
42246,5.0445
53004,6.1983
24105,2.8604
28715,3.3524
40161,4.6735
25180,2.9635
33196,3.9306
64502,7.5086
26022,3.0518
81949,9.6254
27382,3.2163
7980,0.9662
109313,12.749
102324,11.924
28292,3.4448
164845,19.450
68460,8.1309
8690,1.0216
17285,2.0287
48049,5.6564
12215,1.4467
29007,3.3931
88031,10.217
42619,4.9711
12109,1.4179
24444,2.8339
29838,3.5491
38676,4.5607
22360,2.5701
34398,4.1567
46089,5.3967
47114,5.4942
102998,12.285
38472,4.4680
65765,7.7056
30479,3.5910
22196,2.7028
74582,9.2473
103030,12.731
32280,3.7754
41612,5.0543
142623,17.413
29640,3.6191
11006,1.3564
62342,7.4895
31623,3.7454
22840,2.7632
56718,6.6559
32194,3.7718
135156,15.622
37315,4.4188
35751,4.8272
8545,1.0190
16505,2.0232
12027,1.4059
94707,11.088
14121,1.6597
44109,5.1788
61885,7.2223
67247,8.8186
66034,8.0780
53860,6.7127
17772,2.1884
122458,15.704
42633,4.9662
63819,8.3242
38587,4.9763
65666,7.9648
11728,1.3896
62506,7.2453
172587,21.050
17607,2.1179
9768,1.5630
12205,1.6858
51596,8.0186
54220,6.9564
31370,3.8473
120588,14.877
17306,2.0362
37055,4.5635
13012,1.8162
57247,7.4331
68379,9.1126
42570,5.8806
39043,4.7861
29813,3.5097
117848,14.271
141521,18.021
151724,19.864
151290,19.298
99024,13.025
50301,5.9796
82693,10.670
18724,2.8441
72356,8.7479
22588,2.7136
79692,9.3467
34240,4.1507
169553,20.091
73288,9.2418
25598,3.0134
19968,2.3562
18617,2.2327
134532,16.316
48615,5.9236
75516,9.2282
94037,11.136
143206,16.815
2278,0.3281
38673,4.8103
10092,1.2987
79447,9.4173
79987,9.8683
85633,10.126
35901,4.2402
44041,5.2723
61004,7.2813
10794,1.2754
73697,8.6846
56806,6.7102
33107,3.9705
68754,8.3572
57178,7.9760
34330,4.4041
53547,6.8068
16997,2.2359
34894,4.5785
8662,1.2216
59800,7.8850
37938,5.1403
61499,8.3319
14601,1.8811
65866,8.4614
100466,12.386
143710,17.133
120856,15.206
77624,9.1061
18109,2.2478
46010,6.1001
7749,0.9330
83116,11.009
41950,5.3651
78722,9.2989
80164,9.5693
109981,13.963
91365,11.130
97307,11.606
87524,10.634
26871,3.1785
43383,5.0576
19725,2.2915
41230,4.8437
75945,9.3467
49164,6.7240
22397,2.9364
58182,8.0043
30809,3.9919
16323,1.9779
120409,14.829
65022,8.1720
21791,4.0919
49359,6.8258
69353,9.1238
82111,14.006
18384,2.5059
15838,2.1900
51194,7.1132
48152,6.7378
115132,15.276
16030,2.0428
57285,8.7990
52970,6.9544
30512,3.9157
43869,5.5639
14713,1.8891
23003,2.9037
18470,2.2753
3444,0.4269
40782,5.3410
120180,15.402
56120,7.2508
17864,2.2284
52506,6.4625
7168,0.8729
73050,8.6641
252909,30.993
2977,0.3657
16573,2.0265
10963,1.3460
53121,6.2415
179481,21.812
24612,3.0104
159228,20.144
72503,8.7945
32883,4.1333
25521,3.0016
19109,2.2888
165459,24.123
50002,7.8085
76961,10.407
67187,9.3765
16117,1.9990
42030,5.2639
29957,3.7113
72082,9.2286
11013,1.3153
20146,2.3605
34237,4.8408
7259,1.0695
28303,3.4935
56431,6.9353
107465,12.467
122507,14.426
38404,4.6297
29856,3.8874
22948,2.8092
35659,4.4807
170603,22.283
73742,10.532
67733,9.1596
43333,5.3686
38567,4.8477
46175,5.8765
7795,1.0476
44416,5.6109
77379,10.065
47390,6.0644
143773,17.864
24221,3.1455
44468,5.5311
50503,6.3881
19763,2.4269
70063,8.6608
21272,2.6397
24364,3.1131
30106,4.0789
67178,8.5481
15761,2.0166
91683,11.513
22300,2.7282
103048,13.576
122714,15.910
6781,0.9135
18090,2.2935
89010,11.449
19194,2.4668
22885,2.8013
102487,13.209
62779,8.0437
32681,4.2612
145739,18.091
125777,17.278
72671,9.8267
76487,9.9078
108923,13.718
84640,11.306
34031,4.4696
32055,4.4539
212408,27.313
15091,1.9540
31670,3.8524
57883,7.0967
27340,3.6042
60685,7.4695
89528,11.917
111948,14.951
36322,4.9033
22594,2.9288
30149,3.8314
45539,5.9173
37317,4.6288
160689,20.436
32956,4.1928
28302,3.8318
245193,32.890
13750,1.9943
41258,5.4204
34192,4.3896
17240,2.2058
71314,9.9534
206250,29.732
30798,4.4879
129996,17.873
169660,22.000
148186,18.286
19049,2.3976
97752,12.271
28951,3.6921
47849,6.0787
69178,8.5112
46550,5.5323
46682,5.7042
30088,3.7910
95582,12.171
59628,7.4949
40620,5.0704
58832,6.9411
52558,6.3297
21941,2.7545
73573,9.6295
63675,8.0559
23303,2.9563
167715,20.761
22548,2.8372
12732,1.5973
31355,4.0572
21956,2.7542
76346,10.988
70438,8.5593
12666,1.6086
8512,1.0890
20166,2.4763
35342,4.1317
18302,2.2702
10144,1.2844
45131,5.8581
143099,19.669
53959,6.6409
50948,6.3014
51709,6.1564
50823,5.9338
72488,9.0476
30077,3.6034
146764,18.898
11708,1.8090
33889,4.9284
35985,4.4727
81699,10.837
20381,2.6206
68491,8.0466
14131,1.6958
56407,6.9603
70231,8.9460
188496,24.725
49138,5.8887
15228,2.0030
118969,15.213
66236,8.2212
24214,3.0846
34857,4.3373
94869,11.539
83653,9.7296
31028,3.5967
109390,12.763
117694,13.605
45611,5.2760
107458,12.729
5360,0.6731
78114,9.5852
22636,2.8963
29007,3.7515
89365,11.077
158291,19.361
57019,7.0310
13385,1.7224
24602,3.0630
2508,0.3088
39640,5.3502
6947,1.0124
10933,1.4530
19947,2.4960
10216,1.3033
36079,4.5148
93657,11.345
59810,7.4413
34686,4.5204
103055,13.368
101818,13.091
34823,4.5094
12284,1.5993
54995,6.8559
82991,11.147
45971,6.0994
54970,7.2012
25705,3.6691
88483,12.031
8957,1.0709
129220,16.800
47047,6.6381
11964,1.6826
61584,7.8944
88359,12.339
7985,1.9124
39787,6.7705
29267,4.8542
103855,17.617
77763,9.8612
21174,2.5949
32766,4.0778
25176,6.5974
101253,17.285
6492,0.8020
31394,4.0918
86658,10.861
16965,2.1253
96379,12.242
60951,7.5016
24720,2.9983
18555,2.3070
62823,7.4612
7236,0.8668
100486,12.876
31187,4.0409
50343,6.4546
109025,14.200
151903,20.186
42384,5.4342
68253,8.0482
20435,2.8556
25635,3.2835
68701,8.6694
31667,4.3793
33927,4.4549
11924,2.3634
57711,8.2595
43616,5.3809
16356,2.0606
10027,1.4325
17958,2.2852
27093,3.5312
42066,5.6584
17637,2.9346
78102,12.019
39167,4.8877
45591,5.4633
54928,6.7085
9388,1.2226
67234,8.3186
71360,8.8648
131258,17.169
10794,1.5038
42105,5.7624
15797,2.0912
17561,2.4547
32480,4.6294
183023,22.402
97477,13.789
34392,5.5758
148161,20.141
36365,4.5941
168109,21.614
92290,11.409
66283,8.3951
109701,13.640
7300,0.8721
84375,9.7977
78952,10.338
45640,5.8894
10304,1.2470
53903,6.4143
143295,17.130
25893,3.0969
20540,2.6179
35155,4.6065
32043,4.1081
21235,2.7703
40187,5.1497
56644,7.4221
43939,5.5905
92124,12.006
16277,2.1230
51892,7.1780
39937,5.1464
54317,6.6652
18890,2.3503
24129,2.9582
112475,13.696
67694,8.8141
47876,6.0446
97363,12.589
109964,14.277
23671,3.1117
68050,8.9388
70787,9.3296
22722,2.9928
43730,5.8838
29418,3.6628
92250,11.158
23404,3.0191
59084,8.6616
52179,7.1587
33090,4.6781
21004,2.5671
26867,3.4592
25372,3.2161
38595,5.1406
35751,4.8290
33994,4.4280
12847,1.7556
144985,18.951
36298,4.4676
63718,8.2615
68355,8.5344
5862,0.7553
129231,16.592
79100,9.7515
37212,4.4413
45070,5.2711
14948,1.7449
82241,9.5314
88806,10.867
58904,7.2081
145885,17.280
10148,1.2718
23487,2.9924
131151,15.547
24805,3.0026
34783,4.1744
8902,1.0740
15643,1.8146
37479,4.3886
20377,2.4409
32400,3.8356
33537,4.0392
49071,5.9139
20420,2.5376
72907,8.6714
174566,21.377
35768,4.5006
17017,2.1411
88028,10.673
221021,26.603
21341,2.6006
99216,12.118
36888,4.7741
22231,2.7522
43907,5.0872
24344,3.1440
36444,4.3220
22215,2.6653
101775,12.171
67454,8.5296
24917,3.2683
35602,4.8620
236199,29.286
66677,8.0346
32128,3.8880
70747,9.0765
11831,1.5244
72247,8.8098
20327,2.4606
145582,17.709
3316,0.3946
99938,11.664
119800,14.045
186231,22.334
91223,12.301
26035,3.4691
12774,1.6282
19431,2.5959
8296,1.2740
73339,10.019
10576,1.3674
7854,0.9970
44727,5.6974
59361,7.8534
45067,5.5879
80964,10.551
8308,1.0377
13674,1.6152
18853,2.2503
119615,14.773
31703,3.7804
88903,11.635
45792,6.0821
13453,1.8276
13372,1.7684
73170,9.3312
27245,3.3540
16499,2.2907
39536,5.3056
55184,7.0799
56628,7.1106
31288,4.1841
41981,5.9331
88091,11.387
83009,10.417
34103,5.6820
62944,8.1528
72088,8.6398
61438,7.2426
39300,4.7034
18027,2.2279
84621,10.121
62734,7.5887
32393,3.9123
40363,4.8958
56631,6.8616
9808,1.2237
58177,6.9525
75688,9.2332
39714,4.8432
40685,5.1165
13936,2.0102
59176,7.4398
83151,11.284
12535,1.7030
4660,0.5909
59274,7.8325
13018,1.6865
10596,1.3283
74028,8.7891
75168,9.4726
43882,5.7521
33233,4.4323
99025,14.119
31395,4.0634
95244,13.489
11096,1.5110
49029,6.6169
26526,3.5241
44140,5.4559
36361,4.5946
45414,5.5688
14799,2.0270
57020,7.3831
38206,4.7675
96464,11.565
102170,12.617
109218,13.804
21104,2.7463
73540,9.5989
56581,7.1864
154286,19.886
20375,2.7113
35902,4.4344
64968,8.3293
14944,2.0226
34430,4.6547
55893,7.1881
100770,12.292
21304,2.6177
58338,7.0911
15978,2.0149
35987,4.7497
86466,11.118
107125,15.396
52938,6.9233
57611,7.2024
111944,13.800
28371,3.5756
58841,7.4775
68361,8.8958
33645,4.2575
49044,6.1558
7414,1.0545
120912,16.079
16287,2.0247
32204,4.4654
40846,6.3678
117501,15.991
126523,16.027
79737,10.602
50018,7.5106
50277,6.6543
14533,1.8337
65029,8.4498
35444,4.3848
30245,4.0444
16915,2.3828
28832,3.8785
7088,1.0080
24054,3.1630
52371,7.1434
49422,6.2173
53767,7.0301
14718,2.2079
25800,4.1201
46412,7.1235
90819,11.919
33311,4.5662
16569,2.3410
39576,5.1123
45700,5.6180
47000,5.9438
21717,3.0071
6020,0.7955
136508,16.728
13998,1.7634
76955,9.4827
28783,3.6185
77651,9.3560
53192,7.1574
4729,0.7534
107493,14.477
80161,9.9202
52674,6.4119
52492,6.5215
88221,10.727
12687,1.5501
33127,4.0776
83912,10.771
19449,2.5773
29217,3.9653
67813,8.7389
73008,10.051
104033,13.442
33389,4.2848
52719,6.8525
4543,0.5939
193978,24.924
17097,2.2409
100246,13.297
22814,3.0961
186915,23.865
48311,6.0237
88385,11.378
76305,9.2798
26253,3.1874
167436,23.087
26616,3.5698
42032,5.4996
47518,5.9312
33427,4.4423
66309,8.5089
35105,4.4163
34764,4.8246
66910,9.0052
33099,4.4138
95348,12.457
34906,4.4128
27567,3.4206
18509,2.3163
18979,2.4200
22396,2.8451
61523,7.6582
265243,33.639
117811,14.915
6233,0.7445
38288,4.7383
74984,9.4676
72765,8.8307
44931,5.3664
42152,472.92
23703,3.5042
