moves,runtime(in seconds)
21711,1.3815
10146,0.6379
4493,0.3087
55685,3.5341
1738,0.1152
6391,0.4169
12181,0.7278
7547,0.4777
20444,1.3817
24908,1.6187
5632,0.3671
37209,2.4750
37501,2.4564
4909,0.3235
28320,1.8082
6180,0.3981
50395,3.2018
24348,1.5811
6205,0.3885
19445,1.2186
69550,4.4127
26051,1.6318
21108,1.3561
11151,0.7125
37448,2.3909
18575,1.2220
11528,0.7326
3786,0.2461
12812,0.8173
12851,0.8190
20888,1.3202
8257,0.5688
9996,0.6452
10173,0.6243
11234,0.7391
18892,1.2318
8732,0.5898
21298,1.3420
10093,0.6285
38240,2.4573
6367,0.4237
14097,0.9089
41509,2.6884
10796,0.7144
4509,0.2970
3662,0.2338
35423,2.2578
20603,1.3576
4328,0.2730
11980,0.7891
17968,1.2403
3609,0.2593
12725,0.8074
4009,0.2735
60197,4.0736
10678,0.6698
8268,0.5597
88559,5.6491
10715,0.6643
32500,2.0925
41282,2.6607
18665,1.1913
1753,0.1144
11511,0.7371
10320,0.6905
57473,3.6911
19283,1.1946
46701,2.9003
15942,1.0335
26291,1.6882
24619,1.5434
8741,0.5386
50703,3.1993
32728,2.0950
2436,0.1621
3454,0.2348
40931,2.5485
19231,1.2337
87780,5.7070
20521,1.3330
22313,1.3682
12910,0.8555
4445,0.3006
9504,0.5997
167487,10.801
16872,1.0748
30209,1.9516
6564,0.4090
9786,0.6212
19627,1.3015
11045,0.6870
30926,1.9612
23171,1.4425
12302,0.7766
124212,7.9834
6733,0.4362
11644,0.7345
79663,5.1534
13939,0.8997
89916,5.8538
19837,1.2289
66664,4.3529
10709,0.6782
1623,0.1102
6274,0.3927
3998,0.2744
17331,1.1376
27981,1.7783
48361,3.1693
9129,0.5543
9083,0.6153
5822,0.3673
17736,1.0714
31428,2.0120
29646,1.8919
21542,1.3673
21045,1.4104
4883,0.3188
30025,1.8380
20506,1.3050
107624,6.8237
18347,1.1549
15036,0.9680
17559,1.1196
50271,3.1579
24906,1.5747
9684,0.5983
8633,0.5831
26203,1.6621
5607,0.3783
20470,1.3398
107831,6.8745
732,0.0554
10002,0.6574
5918,0.3756
17403,1.0741
100387,6.3621
21254,1.3595
31480,1.9965
15216,0.9637
25696,1.6264
9793,0.6233
29812,1.9686
23699,1.5150
36594,2.3616
5298,0.3435
29371,1.8515
2697,0.1777
4875,0.3087
41165,2.6680
16833,1.0592
26288,1.6464
27848,1.8160
30840,1.9097
18514,1.1655
5436,0.3459
46883,3.0696
26333,1.6452
5560,0.3507
12440,0.7733
13099,0.8339
23246,1.4497
23451,1.4478
1869,0.1264
35388,2.2436
44727,2.8857
53570,3.4203
6886,0.4279
10387,0.6927
5868,0.3755
71351,4.5824
15862,1.1065
12594,0.8065
3117,0.2237
24804,1.6670
38767,2.4403
3051,0.1979
