moves,runtime(in seconds)
717,0.0440
3054,0.1674
265,0.0167
580,0.0392
871,0.0481
3378,0.1892
898,0.0489
3255,0.1835
439,0.0265
3500,0.2064
2924,0.1880
4247,0.2726
1855,0.1152
3371,0.2399
358,0.0228
4766,0.3623
880,0.0589
1158,0.0946
1689,0.1144
4155,0.2424
292,0.0240
5369,0.3990
5123,0.3780
908,0.0758
1222,0.0841
1859,0.1356
1338,0.0835
3047,0.2370
1514,0.1142
441,0.0396
422,0.0319
5349,0.3668
1286,0.0776
2044,0.1250
359,0.0243
1434,0.0887
1781,0.1010
3558,0.2412
4506,0.3160
241,0.0133
370,0.0305
2916,0.2348
1746,0.1368
2475,0.1938
2698,0.1834
2237,0.1392
658,0.0395
1778,0.1144
734,0.0516
1078,0.0780
693,0.0505
1330,0.0976
1019,0.0763
545,0.0399
2352,0.1386
1161,0.0804
1229,0.0795
1364,0.0881
3151,0.2174
937,0.0696
3523,0.2410
1135,0.0771
1003,0.0660
231,0.0162
1458,0.0833
3737,0.2198
524,0.0366
986,0.0660
3121,0.1797
3476,0.2491
844,0.0519
438,0.0269
1464,0.0954
2649,0.1712
5166,0.3744
867,0.0501
894,0.0509
2924,0.1835
845,0.0477
1159,0.0643
2266,0.1300
862,0.0482
701,0.0396
876,0.0488
5415,0.3209
789,0.0433
3222,0.1777
2003,0.1165
457,0.0286
1781,0.1030
2211,0.1242
2333,0.1364
663,0.0326
1425,0.0771
260,0.0155
2160,0.1192
4132,0.2302
1037,0.0613
1214,0.0684
1118,0.0611
2841,0.1610
2295,0.1273
386,0.0241
1117,0.0629
2496,0.1320
1442,0.0797
572,0.0300
3196,0.1780
1667,0.0924
10578,0.5869
2187,0.1272
6283,0.3870
3625,0.2012
780,0.0442
374,0.0263
1105,0.0651
1663,0.0931
1092,0.0653
640,0.0371
286,0.0176
622,0.0371
1065,0.0621
712,0.0389
350,0.0204
1055,0.0628
440,0.0275
401,0.0225
317,0.0201
1658,0.0985
568,0.0308
1732,0.0969
1771,0.0971
628,0.0348
493,0.0290
1363,0.0790
5128,0.2815
2087,0.1162
1328,0.0788
1635,0.0904
5923,0.3389
2226,0.1303
974,0.0489
1095,0.0587
2310,0.1255
1419,0.0822
2795,0.1556
686,0.0349
626,0.0343
343,0.0196
639,0.0378
928,0.0513
517,0.0303
1819,0.1020
2535,0.1418
898,0.0484
1974,0.1017
1894,0.0988
3248,0.2097
540,0.0386
780,0.0515
838,0.0577
738,0.0528
3569,0.2160
1107,0.0716
1154,0.0749
340,0.0191
2121,0.1261
2295,0.1434
2578,0.1478
3223,0.1799
881,0.0671
4738,0.2712
1836,0.1002
1100,0.0634
643,0.0396
2866,0.1811
946,0.0568
734,0.0456
593,0.0379
4418,0.2779
421,0.0243
2773,0.1648
2602,0.1607
2440,0.1382
224,0.0126
1528,0.0941
1290,0.0821
1350,0.0782
2340,0.1355
596,0.0352
347,0.0303
2130,0.1360
4902,0.3929
974,0.0960
3607,0.2796
808,0.0432
2370,0.1430
1695,0.1075
735,0.0437
1024,0.0652
2528,0.1357
1582,0.0777
1531,0.0915
3502,0.1976
1052,0.0596
4327,0.2538
3082,0.1824
1711,0.1009
1296,0.0776
974,0.0538
499,0.0282
5398,0.3142
1806,0.1065
250,0.0145
337,0.0220
766,0.0503
1340,0.0747
952,0.0602
952,0.0522
194,0.0122
4345,0.2357
1877,0.1120
1926,0.1096
7086,0.4307
1377,0.0761
2458,0.1451
670,0.0373
2888,0.1615
687,0.0425
9797,0.6613
1054,0.0665
1979,0.1070
2924,0.1549
5816,0.3772
2020,0.1227
425,0.0247
1880,0.1016
934,0.0497
224,0.0125
2599,0.1579
476,0.0250
4260,0.2322
2505,0.1403
1272,0.0702
4058,0.2279
1066,0.0637
1884,0.0993
2728,0.1485
427,0.0257
5056,0.2784
6248,0.3840
7541,0.4713
396,0.0296
796,0.0540
1393,0.1047
2118,0.1781
917,0.0680
168,0.0164
253,0.0294
1172,0.0774
282,0.0222
577,0.0442
3126,0.1968
1547,0.1266
1702,0.1372
1876,0.1225
568,0.0457
1943,0.1240
1149,0.1021
4599,0.2959
1030,0.0865
1168,0.0774
1577,0.1006
1449,0.0966
2014,0.1252
711,0.0465
816,0.0515
1167,0.0910
1048,0.0874
6860,0.4413
586,0.0507
6167,0.3904
2273,0.1592
2191,0.1704
3646,0.2669
2069,0.1738
1494,0.1009
2214,0.1473
2626,0.1971
4964,0.3512
507,0.0264
1297,0.0773
998,0.0752
2134,0.1176
518,0.0311
1192,0.0599
1738,0.0977
627,0.0356
620,0.0426
496,0.0307
662,0.0365
1011,0.0586
1436,0.0757
1929,0.1058
1573,0.0927
472,0.0294
577,0.0359
2720,0.1489
2076,0.1108
