moves,runtime(in seconds)
11553,1.2648
17550,1.7798
66939,6.8738
170823,16.517
61140,5.7929
15076,1.4786
179525,17.264
60078,5.9305
104490,10.320
104768,10.905
137125,19.402
124353,16.159
39498,3.9863
23565,2.3491
18285,1.6864
42984,4.2345
23325,2.3679
85254,7.9795
69241,6.4518
80238,7.7270
32999,3.3692
115613,10.395
51584,4.6530
20807,1.9230
24302,2.2931
29223,2.7263
92976,8.3131
92375,9.6295
43444,4.2802
74617,7.0727
23401,2.2771
119627,10.962
66120,6.2339
63583,5.7029
91172,8.1738
57139,5.3145
58794,5.6912
46330,4.5403
8133,0.7921
24053,2.4227
24646,2.3541
125950,11.269
76192,6.8059
33645,3.0779
113901,10.242
101533,9.5244
129195,12.246
31654,3.2792
14787,1.5620
51104,5.5837
139321,13.601
32206,3.2977
33250,2.9862
35252,3.4614
71275,7.3326
23841,2.4522
23687,2.5057
112638,10.159
69208,6.3035
38364,3.8640
11886,1.1851
44428,4.2278
108616,10.616
17124,1.8459
110195,10.333
17500,1.7903
31737,3.4777
11995,1.2713
122961,12.925
16342,2.0874
29499,3.6041
40430,5.3980
36963,4.5640
37605,4.4046
24017,2.9484
18313,1.8849
39579,4.0168
33568,3.5775
37265,4.2367
19495,2.0295
58595,6.0365
60629,6.2220
48270,4.8169
161552,15.536
134907,13.038
10036,1.0383
133941,12.663
23188,2.3413
20031,1.9280
30423,2.9145
44978,4.6394
56780,5.6856
10907,1.1320
52042,5.5906
61490,6.0419
108568,9.6778
17324,1.6788
14953,1.4433
112554,10.523
56652,5.7103
87650,8.3973
56100,5.4997
78055,7.5693
47041,4.8931
10015,1.2372
14078,1.5478
80137,8.2945
16008,1.4841
79087,7.4941
28174,2.7730
218648,21.669
61201,6.2705
58841,5.8078
34723,3.4798
128975,12.523
29302,3.0536
9833,1.0979
90720,8.9426
119890,11.230
31463,3.2451
21569,2.0419
9889,0.9943
29859,2.9229
47343,6.8194
90187,9.8461
11924,1.2610
54358,8.5140
45686,4.8178
151657,16.698
31592,3.7986
20976,2.0883
59763,6.2094
53423,6.3739
68591,6.6882
53162,7.4213
91567,9.3065
98542,9.9137
106306,10.533
37112,4.1142
35614,3.6503
38179,4.0134
142897,13.814
84601,9.1350
35948,3.7415
223806,22.522
213944,21.859
100963,11.125
39492,4.0606
164479,15.920
30522,3.2333
25694,2.5170
32347,2.9805
72154,6.6246
66109,5.9792
59328,5.4560
7714,0.8012
106490,9.8073
22115,2.0198
41213,3.7811
28496,2.9277
67575,6.0468
18473,1.8137
24203,2.3770
41732,3.8275
43515,4.0158
28055,2.7456
59593,5.4148
64385,5.7998
11072,1.0640
116549,10.679
19384,2.0343
89182,9.9022
84975,8.6509
71042,7.9848
67256,7.7656
18908,1.9239
99226,9.7510
70797,7.2810
53575,5.3008
96294,9.5346
23612,2.3544
19042,2.1826
37421,3.8213
93769,8.9477
56175,5.2961
115696,11.295
21564,2.1834
22564,2.5693
34573,3.4961
97895,9.4734
19493,1.9376
27638,3.1566
35483,3.7956
52174,5.4769
113061,10.804
47633,4.7353
23200,2.4590
18595,1.8474
109849,10.425
47829,5.2483
97576,9.2535
110690,11.434
103699,10.385
30745,3.4801
24791,2.5268
77621,7.9040
21274,2.1256
14173,1.5485
65959,6.5700
51672,5.3216
36561,3.9561
57268,5.6600
79382,8.0180
73228,6.9867
69560,7.8027
48100,6.1422
41656,4.0695
6643,0.7066
5133,0.5328
53561,5.5452
90906,9.6882
65680,4.4793
35413,3.6182
49578,4.8741
102770,10.690
8258,0.8638
58593,6.0279
31508,3.0942
49218,5.0279
16647,1.7849
158229,15.534
92685,9.0701
7450,0.7344
22436,2.2564
41734,4.3336
94914,10.004
14193,1.6984
3942,0.4344
132545,14.974
85019,8.9277
14671,1.5305
39124,4.2761
78719,7.8694
33953,3.5744
16884,1.7331
47715,4.8209
36068,3.6063
4336,0.4062
42261,4.0900
56335,5.3509
35240,3.4813
7688,0.8747
5785,0.6254
111427,13.438
55238,5.4411
23253,2.3162
88112,8.4453
4241,0.4062
27012,2.5821
86949,8.5184
153664,16.073
193588,19.237
7799,0.7424
52656,4.9562
7249,0.6975
15925,1.7085
56490,5.2666
62755,6.5738
40926,3.9871
14919,1.7879
80801,9.0925
21746,2.3901
44686,4.5982
77684,8.2099
57940,5.8454
92167,9.1617
9777,0.9857
92365,9.3674
65216,6.8443
22021,2.3532
74839,7.8364
49692,5.1384
16537,1.7614
20550,2.1548
80230,9.0980
44845,4.3444
47195,4.8303
41023,4.2522
28249,2.9256
104418,9.9938
82093,8.0984
21724,2.1381
41676,4.4446
52240,4.8974
15355,1.5098
29794,2.9035
113084,11.286
29533,3.1104
61068,6.8892
27451,2.7766
22566,2.3399
42968,4.0209
44122,4.4429
42858,4.3289
139134,13.886
10068,1.0149
63200,5.8493
37546,3.7306
30524,3.1786
31220,3.6000
47813,4.8688
107089,10.331
119931,12.729
148664,14.102
20737,2.1713
27993,3.0136
92261,9.3686
93738,11.678
62224,9.0151
28906,2.9051
66644,6.6971
57827,5.9579
11602,1.0845
6693,0.6471
8436,0.8216
17530,1.9064
64029,6.9157
85262,8.4356
45931,4.8157
57697,5.7747
192192,19.082
39887,4.0765
182022,18.344
27708,2.6157
70876,6.9194
19622,2.3053
177873,18.291
12638,1.2706
15140,1.5429
5127,0.5221
13514,1.2931
72910,7.5059
20001,1.8585
10977,0.9984
52584,4.7993
54091,5.2883
63889,6.1545
27921,2.5817
50582,5.0800
6754,0.7235
17976,1.9542
131988,12.858
52929,5.8351
71169,6.9588
82367,8.1192
5021,0.4894
108756,9.8368
4386,0.4488
64834,6.1405
32377,3.0157
18606,1.8908
37766,3.3623
81766,7.8180
79541,7.3807
109833,10.775
67033,6.5974
12215,1.2922
25870,2.8411
16733,1.8081
49987,5.1110
41416,4.1784
4604,0.5229
18388,2.2710
74395,10.903
25349,2.8071
8583,0.9834
31215,3.1198
41798,4.2882
28860,2.7920
33797,3.3775
67986,6.2151
21367,2.0905
19621,2.1976
74619,7.2125
34018,3.5437
83972,8.4384
43457,4.2479
170333,16.071
57536,6.0963
106531,11.460
18614,1.9350
10409,1.0333
66494,6.3235
73844,7.5604
36941,3.9826
14743,1.4981
18646,2.0511
42656,5.4030
47034,4.4745
118521,10.991
25929,2.6965
71214,6.7780
77122,8.3244
26077,2.6261
70282,6.6508
31947,3.4498
44675,4.4283
56981,5.6374
143103,14.477
68164,6.9440
157138,15.570
135901,12.725
51671,4.7781
30873,3.1416
21128,2.0724
87933,8.7524
56457,6.1462
17339,1.6728
47292,4.3189
71528,6.7612
13363,1.3717
36282,4.0949
196951,20.282
18413,1.9989
51891,5.3296
148936,16.038
8496,1.0208
56086,6.0392
59563,6.1825
80754,8.3955
241285,25.227
70512,8.7050
44720,4.9986
6951,0.7107
20795,2.3805
22299,2.7134
41255,4.1637
26871,2.4786
26084,2.4411
16433,1.5986
28408,3.0384
25211,2.8123
94749,10.333
73961,7.8324
48964,5.4076
53292,6.1909
