moves,runtime(in seconds)
15793,1.5376
35141,5.8400
23658,6.5367
11017,1.0405
19850,2.6095
8867,0.9796
18343,3.3154
17752,1.5819
12902,1.7227
16659,2.3004
19927,1.6336
15568,2.2906
21846,1.8082
9680,1.0230
21244,5.6010
22759,2.2938
17686,2.5922
14125,1.2195
17556,2.1928
21592,2.9045
9723,0.8623
22597,8.5882
25223,2.2297
22970,4.5680
12244,1.2718
14035,1.8472
15530,1.4805
4996,0.4488
12542,2.0366
11125,0.9835
26132,2.3870
24168,2.1185
29172,2.8575
24068,3.2911
16968,1.3570
27191,4.5475
22349,2.3802
6879,0.6316
3968,0.3110
15933,3.2934
17790,1.4263
13424,1.4433
16537,1.4390
14935,2.9711
31039,4.8418
28697,3.4056
22832,3.2200
11252,1.0937
1737,0.1818
7095,0.7672
24662,3.3356
38735,3.9976
19548,2.0411
14264,1.8798
16321,1.8252
10812,1.0484
10155,1.0428
17478,2.6898
26817,2.2762
2960,0.2367
18823,5.5985
14061,1.5070
9666,0.8572
6185,0.5827
23015,2.1737
58349,4.7788
36542,4.1459
19402,1.6997
11162,1.1262
9279,0.8411
20747,6.2631
16533,2.2401
15213,1.8348
8358,0.7400
21106,3.2388
23335,1.9633
9122,0.7766
11325,1.0964
11932,1.0382
22239,2.0583
16590,1.5927
19582,1.9536
18010,2.2638
15620,1.3670
21404,2.5559
17797,1.8835
29285,4.7229
22177,2.6225
15243,1.2897
9709,1.0867
7930,0.7732
25827,2.5580
25625,2.2341
16357,2.5581
48975,6.2462
22161,2.4804
7645,0.6519
11603,0.8976
16939,4.2699
14063,1.1506
17301,2.3014
2879,0.2692
24397,4.0858
3235,0.3424
25475,2.8984
22749,3.7957
19538,2.7149
24566,5.6925
20690,4.7015
16670,1.7773
26613,7.1499
9037,0.9722
10392,1.3242
34990,3.8239
20464,2.4084
7012,0.6106
5974,0.5513
17760,1.4951
16972,1.6736
10733,0.8843
12081,1.0472
19271,1.7764
15170,1.5297
24994,1.9455
15064,1.7193
9010,0.8704
6607,0.6762
13510,1.5670
7406,0.6864
23790,2.4186
15428,1.6152
11525,1.1431
8893,0.9104
12208,1.4948
19893,2.4938
16038,2.4818
9505,0.9073
18390,1.7101
5673,0.5213
15074,2.5397
8981,0.9477
18011,1.9425
13646,1.9502
7631,0.7741
18129,2.2609
14017,1.4174
22066,7.0307
9585,0.8098
34459,4.2708
6497,0.5416
4643,0.4098
16523,2.2062
19233,2.6641
4803,0.4725
19808,2.8276
38241,3.2987
19121,2.4087
14608,1.7766
11048,0.9191
12472,1.0339
22560,4.6578
12365,1.0216
17925,1.5055
11823,1.0671
13200,1.3496
25076,3.7741
33439,6.5782
26781,2.4948
11432,0.9321
8267,0.6734
12229,1.6758
15124,1.8242
7042,0.6802
10579,0.8759
10398,1.1037
60055,5.9937
32565,6.5129
13745,1.0463
23408,4.6428
9910,0.9927
15624,1.8540
25180,2.8010
11171,1.0136
17537,3.1855
19519,2.1525
28199,2.1640
21281,1.9872
24434,3.0213
23376,2.1994
16946,1.8061
36506,4.4630
11717,1.0564
6292,0.5653
2156,0.1994
27137,2.7500
29056,2.9399
8227,0.7495
19917,7.2111
17995,2.0027
14381,1.1400
15318,3.5828
14518,1.3642
21699,1.8912
14694,1.7120
59042,9.4928
11174,0.9936
17445,3.4879
11081,0.9826
17941,1.5262
15377,2.4853
12915,1.0801
6343,0.5163
8642,0.6904
32431,3.3483
5801,0.4771
10127,0.9271
30662,4.5471
27085,2.7310
10945,0.9354
16138,2.6640
23816,3.5177
21576,2.0830
20818,1.8472
20165,1.7705
11220,1.1660
17882,1.5189
9677,0.8860
33013,5.7364
8177,0.9351
23842,2.2190
19658,3.1876
16569,2.6783
21018,3.1901
25255,2.1755
10346,1.1288
39275,3.5350
6314,0.5862
15263,1.7056
15118,2.9877
11975,1.2137
11901,1.0049
14497,1.7808
20213,1.7339
28087,4.0959
20508,2.6865
7678,0.7323
19023,2.4738
38105,4.1779
28041,2.6519
17416,4.8093
5464,0.5368
11847,1.2647
10180,1.2424
15919,2.2580
14166,1.4080
16614,1.4566
22834,2.5783
12616,1.4727
9841,1.0435
25244,2.3571
4425,0.3544
14295,1.3824
13191,1.0859
11795,1.8210
12977,1.3118
8833,0.8687
21548,2.4779
8372,0.7989
20836,2.2864
9192,0.9440
13650,2.1305
8659,0.7613
18383,4.7208
15171,1.2884
