moves,runtime(in seconds)
2972,0.2353
34079,2.8283
18860,1.6279
52280,4.4368
7197,0.5731
10876,0.9943
11445,1.0139
61342,4.5443
10797,0.7811
73875,5.4639
44833,3.2226
34744,2.5213
40237,2.9413
44777,3.2627
12007,0.8874
33116,2.3922
14821,1.0904
41689,3.0237
28239,2.0543
8790,0.6527
17510,1.2748
22741,1.6393
41150,3.0273
28588,2.1054
9810,0.7125
3318,0.2411
12042,0.8859
8546,0.6271
16926,1.2495
19768,1.4583
4181,0.3199
57993,4.2655
33773,2.4677
13679,1.0474
76880,5.6397
60544,4.3884
57467,4.2426
53804,4.0581
37551,2.8778
31302,2.3859
27388,2.0658
150206,11.256
8887,0.6462
3167,0.2325
55456,4.1781
47451,3.5091
11845,0.8579
10100,0.7389
30045,2.1816
25957,1.9154
7659,0.5904
21719,1.6193
40781,2.9613
23607,1.7176
10552,0.7896
51873,3.7876
21125,1.5559
45633,3.3624
18256,1.3592
20473,1.5503
16606,1.2040
14699,1.0948
15543,1.1868
29766,2.1579
23907,1.7457
6683,0.4760
12387,0.9530
8807,0.6482
20721,1.5302
9695,0.6979
28927,2.1608
4967,0.3751
18816,1.3575
14228,1.0488
22636,1.6716
29510,2.2366
9611,0.7195
7841,0.5859
17497,1.2772
8552,0.6179
8765,0.6396
10726,0.7979
20815,1.5637
26900,2.0426
31962,2.5976
34112,2.6738
15929,1.2185
39317,2.8888
23627,1.7740
17047,1.3660
38610,3.0646
10900,0.9252
50281,3.9732
15333,1.1428
13249,1.0443
11625,1.0847
14869,1.1629
16096,1.2886
12506,0.9955
19595,1.5549
20382,1.6793
18736,1.4338
39495,2.9870
18294,1.3944
25274,1.9086
7062,0.5526
85351,6.7235
33006,2.8852
23695,1.8981
6042,0.4678
22740,1.8235
77345,6.2144
5508,0.4158
10817,0.8007
40545,3.1371
41582,3.3004
30165,2.3428
71615,6.5677
67031,5.2790
43408,3.3815
32914,2.4888
42432,3.3755
29152,2.2178
38038,2.8570
57718,4.2382
17093,1.3050
8017,0.5895
20883,1.5037
40691,3.0076
4800,0.3448
11888,0.8833
7620,0.5676
20901,1.5027
3450,0.2656
25524,1.9035
8725,0.6545
12988,0.9672
6865,0.4804
18416,1.3455
62918,4.6259
14545,1.0907
20049,1.4660
3621,0.2724
24433,1.8175
1349,0.1140
12457,0.9232
15775,1.1401
49258,3.6642
23073,1.7328
31136,2.3548
8448,0.6384
8098,0.6269
2486,0.1942
11877,0.8743
39192,2.8759
3243,0.2582
17314,1.2926
20217,1.4366
12210,0.9343
8934,0.6710
38907,2.8672
6070,0.4543
50205,3.6850
46470,3.3415
40390,2.9648
23624,1.7361
35424,2.5490
73226,5.3349
3613,0.2904
8210,0.6209
48541,3.6148
88980,6.5033
44381,3.2363
18009,1.3213
23220,1.6967
50269,3.6914
2646,0.1924
49714,3.8409
40560,3.1040
33405,2.4776
26156,1.9622
13485,1.0371
10127,0.7874
4140,0.3194
10865,0.8917
14964,1.1059
7290,0.5653
21580,1.6411
16481,1.2351
83659,6.4074
57429,4.7064
37686,2.9064
12235,0.9237
15106,1.1233
9038,0.6755
26426,2.0654
50098,3.8231
5728,0.4740
74698,5.8630
16043,1.2983
11766,0.9466
4957,0.4025
9533,0.7177
42200,3.2011
7927,0.6331
11718,0.9192
9173,0.7239
22654,1.6897
65126,5.0665
6555,0.4932
2276,0.1726
28068,2.1308
23114,1.7656
30085,2.2299
9483,0.7121
4216,0.3188
14271,1.2816
222336,16.932
28215,2.2806
30923,2.3920
15786,1.2324
16815,1.2267
7777,0.5697
8859,0.6668
11078,0.8177
18867,1.4492
21884,1.6780
38004,3.1263
10373,0.8108
14352,1.1895
25893,2.1127
9195,0.6781
40759,3.2424
82214,7.9816
7397,0.5727
67353,5.0084
8175,0.6194
8379,0.6461
6256,0.4716
26121,1.9842
18600,1.4026
67475,5.2757
25692,2.2067
13828,1.1538
38438,3.1259
36615,2.8205
12580,0.9379
13908,1.0759
24206,1.9472
8409,0.6503
28606,2.1780
46139,3.7152
26422,2.1239
18235,1.5307
16842,1.4710
1684,0.1393
5371,0.4948
9141,0.8037
24415,1.9581
15477,1.2358
30903,2.3571
15692,1.2209
18415,1.4221
12226,0.9929
27896,2.2250
12819,0.9598
8199,0.6395
6509,0.4885
28272,2.1705
17512,1.3583
43751,3.3726
51767,3.9602
9721,0.8175
2571,0.2055
3121,0.2599
27168,2.1818
14535,1.2267
31334,2.6999
13999,1.2311
28376,2.3449
15417,1.1931
29776,2.3777
26266,2.1650
17836,1.5266
12207,1.0777
17394,1.6458
19779,1.9055
18006,1.5797
7966,0.6941
42893,3.3665
6780,0.5903
18983,1.6453
82299,6.5179
5349,0.4238
48190,3.6011
9065,0.6733
29866,2.2023
24051,1.9817
7022,0.6173
7463,0.6358
64803,4.8214
35417,2.9725
57137,4.7699
8328,0.6452
52542,3.9610
19626,1.5704
97206,7.9270
24456,2.0873
46933,3.9065
7126,0.6268
16946,1.3640
90452,7.3365
2206,0.1738
18680,1.5187
43054,3.5857
10172,0.8805
8218,0.6923
12861,1.1914
20527,1.6593
62639,5.1908
29332,2.4411
8965,0.7121
24311,1.9424
52833,4.3433
7122,0.5918
77796,6.3816
6245,0.5403
28579,2.3836
4446,0.3826
21951,1.7555
26600,2.2265
10970,0.9299
12019,0.9136
4914,0.4173
15771,1.4378
44358,3.7330
60050,4.9097
25563,2.0271
18551,1.4978
28298,2.4323
24767,2.0132
32041,2.7496
15519,1.2279
24465,1.9870
5973,0.4831
2263,0.1818
45644,4.0388
