moves,runtime(in seconds)
69802,5.9768
46642,3.9186
11737,1.0687
15078,1.2893
5364,0.4089
18931,1.4755
2122,0.1737
34735,2.6018
12213,0.9326
19763,1.3459
9609,0.7207
24293,1.8038
13524,1.0115
45383,3.2762
18499,1.3265
9840,0.7797
14008,1.0705
112181,7.9004
34036,2.5422
24328,1.6805
13294,0.9559
2928,0.2233
79238,5.7673
14476,1.0579
4841,0.3492
48509,3.3351
90513,6.3431
63408,4.7357
17263,1.3251
18605,1.4322
6932,0.5183
19424,1.4292
13276,0.9283
104663,7.4121
15290,1.0855
30820,2.1991
20010,1.5105
11816,0.8462
47104,3.3638
30536,2.2225
126064,9.0557
19910,1.4898
9707,0.7318
12128,0.8841
64694,4.7119
6806,0.4892
26283,1.8213
19053,1.3604
24707,1.8427
23310,1.6065
33208,2.3645
120907,8.8534
22996,1.7499
8186,0.6397
27224,1.9502
30590,2.2910
32852,2.3577
75729,6.0147
36945,2.6708
77953,5.8402
84549,6.2496
14210,0.9993
18028,1.2853
27626,2.0592
10651,0.8130
20909,1.5981
23932,1.5952
87328,6.2439
19155,1.4450
63734,4.6234
25687,1.8904
17821,1.2523
5346,0.3524
29215,2.0740
7439,0.5754
78010,5.5332
36591,2.6715
59762,4.3462
20940,1.5011
9202,0.6907
14697,1.0690
21183,1.5518
23548,1.6129
31086,2.3351
7618,0.5699
37100,2.7544
5985,0.4468
9994,0.7084
12341,0.9075
15290,1.1144
64456,4.6188
22762,1.6877
12215,0.8964
12846,0.8766
22191,1.6204
43140,3.1544
24442,1.7616
18321,1.4749
9611,0.8397
35199,2.8262
12873,1.1813
29647,2.3026
22955,1.6420
23646,1.7810
28777,2.0942
35137,2.6382
19889,1.4433
50201,3.7859
33228,2.3815
14555,1.0709
11801,0.8436
24258,1.6157
64029,4.6341
11487,0.8372
15362,1.0637
9233,0.6881
23336,1.7108
4656,0.3557
6901,0.5160
97297,6.8970
50210,3.5669
59429,4.3092
38463,2.7940
10232,0.7762
30993,2.2380
16800,1.2602
2641,0.2140
12361,0.9112
35274,2.5421
38292,2.7813
98049,6.9524
4127,0.3018
19964,1.4122
24733,1.8205
108619,7.9782
46794,3.3994
9537,0.7217
17497,1.2977
15740,1.1716
34016,2.3437
32415,2.3017
14092,0.9449
1285,0.0950
9733,0.7671
123735,8.8855
73621,5.1338
12028,0.8542
30883,2.2329
57799,4.1257
57746,4.2205
41269,3.1862
13749,1.1405
20302,1.6059
28737,2.4304
23831,1.6585
72625,5.3027
6893,0.5196
24441,1.8034
25530,1.8038
20675,1.5166
19435,1.3920
7467,0.6024
22525,1.6224
125062,8.9382
29225,2.0734
21542,1.4661
77278,5.4668
35913,2.6166
6274,0.4501
27834,1.9096
50097,3.5963
40314,2.9436
54098,3.8028
29790,2.0344
1963,0.1562
22377,1.6259
25648,1.7400
47316,3.4045
4583,0.3381
10845,0.7839
4535,0.3259
31734,2.2161
26278,1.8925
8533,0.6251
20154,1.4464
20834,1.5340
64258,4.5565
5952,0.4197
34243,2.3804
6497,0.4596
11329,0.8231
120731,8.5242
13155,1.0019
9947,0.7555
34855,2.4595
4106,0.2758
6208,0.4335
10853,0.7773
19240,1.4247
34175,2.3640
16100,1.2143
17963,1.3518
17613,1.2287
15721,1.0546
27326,1.8883
35608,2.4629
21269,1.5877
7664,0.5579
5283,0.3659
73921,5.3350
16690,1.1859
17665,1.2803
25784,1.9365
36280,2.7262
7239,0.5351
11348,0.9280
11803,0.9708
36483,2.9234
19722,1.5611
13301,1.0304
28529,2.4275
19382,1.3991
11320,0.9168
11013,0.8470
75296,6.6321
26370,2.0139
38786,3.0379
26562,2.2399
27312,2.0976
55472,4.2619
8595,0.6735
42552,3.0334
25938,1.8507
9986,0.8041
53737,4.1860
24272,1.8311
81538,6.3403
31528,3.0945
7166,0.6914
21144,1.7158
5987,0.4753
25205,1.9745
3701,0.2982
14898,1.2392
28878,2.8471
24377,2.1237
44844,3.3190
28719,2.1147
19198,1.3920
22826,1.6633
34307,2.5901
31485,2.3071
45403,3.2012
27959,2.0325
11774,0.8685
13766,1.0140
47455,3.4351
56173,3.9917
18374,1.3101
24251,1.7108
37331,2.6807
34229,2.4935
18962,1.4166
33182,2.3777
138801,9.9446
23954,1.7773
76424,5.4511
9080,0.6714
24200,1.7787
80291,5.7652
12550,0.9261
13538,0.9533
25245,1.8334
34188,2.4530
31028,2.2505
43725,3.1787
5828,0.4537
26304,1.8657
6570,0.5356
15039,1.2217
47436,3.6265
5534,0.4220
36985,2.8450
31780,2.2760
31562,2.3302
9206,0.6836
63992,4.5887
88282,6.5359
8324,0.6047
9680,0.7484
42107,3.0922
18598,1.4066
7515,0.6085
33777,2.5189
11094,0.8075
31802,2.3253
43339,3.1408
21772,1.5586
36809,2.6614
10108,0.7512
4305,0.3564
49520,3.5760
28558,1.9806
83463,6.0648
46411,3.3941
1760,0.1390
23918,1.7228
18369,1.3994
33889,2.4353
2612,0.1975
4155,0.3157
33747,2.4464
13979,1.0163
61314,4.3588
24634,1.8222
24860,1.7454
15828,1.1507
19200,1.3801
8926,0.6969
18823,1.3068
46882,3.3501
49897,3.6293
97664,7.0325
22673,1.6688
20305,1.5041
4275,0.3286
50336,3.6194
22559,1.6447
8632,0.6225
30489,2.1598
44481,3.2623
20243,1.5757
54712,3.9376
48106,3.3937
38820,2.6840
39667,3.0112
17537,1.2163
21007,1.4784
41477,2.9826
16085,1.2368
120085,8.7082
8970,0.6708
2340,0.1773
7515,0.5747
39165,2.8209
12260,0.8719
14015,1.0346
14520,1.0870
3642,0.2820
11763,0.8652
14477,1.0167
25327,1.6528
32086,2.3299
5597,0.4194
8684,0.6782
16414,1.1743
66246,4.7293
30581,2.1512
4895,0.3750
24356,1.7791
23054,1.7542
67593,4.9087
3787,0.2890
84474,6.0347
3976,0.3166
22707,1.6932
35365,2.4384
1698,0.1318
9943,0.7409
10400,0.7719
24013,1.7353
37279,2.6546
42075,3.1243
19484,1.5109
2047,0.1492
26831,1.9078
35876,2.7996
8387,0.5926
41947,3.0634
46146,3.4404
8038,0.5580
21905,1.5814
16687,1.1740
39668,2.7647
51872,3.7125
81143,5.8035
30059,2.2313
6843,0.5408
1951,0.1805
27455,2.0027
4237,0.3233
2821,0.2068
33876,2.5063
21277,1.5475
21641,1.5542
8300,0.6201
40822,2.8945
29347,2.1498
21231,1.5253
13896,1.0190
59908,4.3031
48702,3.4979
8797,0.5984
6005,0.4327
45600,3.2909
9433,0.7094
12241,0.9907
17270,1.2448
