moves,runtime(in seconds)
45677,2.1549
84411,3.7248
44145,1.9284
14562,0.6368
27512,1.1868
14364,0.6541
19571,0.9409
34879,1.5889
21413,1.0183
27081,1.2308
43363,1.9549
54991,2.5452
9929,0.4354
25824,1.1788
6713,0.3067
6823,0.3176
78448,3.5285
5434,0.2733
22484,1.1023
14213,0.6439
12342,0.5595
25624,1.2244
20616,0.9055
21616,0.9711
10963,0.5072
25867,1.2322
14738,0.6641
56124,2.4916
9288,0.4250
44393,1.971
20750,0.9208
6780,0.2981
11067,0.4824
16708,0.7237
16504,0.7008
53413,2.2832
10110,0.4525
59666,2.619
63739,2.773
23998,1.0429
49988,2.2048
34984,1.6837
40351,1.8076
43868,1.9285
35800,1.5873
110928,4.8945
1630,0.0824
4939,0.2159
19501,0.8635
44225,1.9626
42601,1.9913
20456,0.9607
24761,1.1563
10676,0.5153
5327,0.2467
33555,1.5850
42682,1.9848
21408,1.0187
15476,0.7102
9646,0.4685
17205,0.8113
20762,0.9573
6618,0.3235
10470,0.4741
9448,0.4332
12341,0.5928
52133,2.4577
23989,1.1679
66057,3.1048
10451,0.4957
66093,3.0973
9795,0.4915
33084,1.5985
40212,2.0502
16848,0.8680
62163,3.4487
17831,0.9471
5014,0.3402
15558,0.8796
27007,1.4295
22771,1.1883
22002,1.4228
7647,0.4102
25120,1.5004
19899,1.0759
8585,0.4365
25990,1.3740
9377,0.6137
6467,0.4044
73627,3.9636
40938,2.1635
6019,0.3296
2041,0.1292
23752,1.3947
48003,3.5682
42084,2.6997
30180,2.1936
73720,4.1411
6033,0.3057
6596,0.3583
2125,0.1269
46657,2.5659
39805,2.6961
63226,5.2740
31528,1.9177
36560,2.1677
31399,2.0055
4555,0.3242
16204,0.9646
19707,1.1205
15962,0.9648
15919,0.9572
16596,1.0166
7017,0.4402
56622,3.2543
12342,0.7343
32764,1.6666
10396,0.6687
51648,2.7638
11138,0.6042
48715,2.4975
13655,0.6526
29488,1.5030
4033,0.2138
36774,1.8489
62090,2.9963
3250,0.1623
43088,2.4107
40535,3.1895
18303,1.0187
10839,0.6139
23526,1.2420
23116,1.2908
16776,0.8700
15804,0.7907
17994,0.9411
17969,0.9005
6491,0.3811
25414,1.6567
23702,1.8173
21991,1.2180
68962,3.8087
42143,2.3778
7082,0.5547
3244,0.1651
42235,2.5579
5935,0.2849
32506,1.8130
21131,1.4460
38596,3.4073
10047,0.6537
2587,0.1888
38370,2.6463
5655,0.2862
36072,1.6790
3287,0.1581
27730,1.3110
20882,1.0098
39851,1.9778
2415,0.1348
31902,1.7144
21818,1.1890
6041,0.3506
28059,1.5358
26027,1.4773
7049,0.3695
11081,0.6975
36702,2.0201
34818,1.9298
13093,0.7176
63749,3.4161
90420,4.6919
15416,0.8937
32572,1.6374
6632,0.3331
17231,0.8495
20761,1.1266
6191,0.2997
22572,1.1994
54164,3.0006
12481,0.6666
9636,0.5256
8693,0.4424
14816,0.7383
20267,1.0632
26618,1.6089
33705,1.7423
29023,1.5464
14470,0.8665
25731,1.3384
6489,0.3654
40185,2.0572
34716,1.8844
58756,3.1507
5052,0.2646
8106,0.4140
19942,1.0982
21034,1.1520
4102,0.2140
9423,0.4732
13994,0.7004
32437,1.7218
44423,2.3164
65238,3.1612
17494,0.9215
8750,0.4866
15853,0.8564
28425,1.6141
15129,0.7699
24859,1.3367
9178,0.4477
61571,3.2386
32708,2.0926
8566,0.4526
20806,1.0250
47249,2.4282
38844,1.9536
18513,0.9422
6635,0.3188
10868,0.5480
52894,2.6430
7327,0.4473
29166,1.5257
20552,1.0352
13658,0.7014
5834,0.3214
20534,1.1430
99038,5.7153
45146,2.1789
11241,0.5512
18029,1.0061
8492,0.4151
18304,0.9786
15647,0.8079
17522,0.8970
28075,1.4728
46308,2.3896
7867,0.3785
56996,3.0584
2541,0.1517
63751,4.6445
34976,1.9127
22721,1.1765
21045,1.0701
75525,4.1139
7721,0.4971
51599,2.5489
23101,1.2219
28078,1.6667
12482,1.0487
14344,0.7506
11271,0.5559
7159,0.3577
27676,1.3220
23440,1.1081
7565,0.3756
11072,0.5767
27399,1.4554
10577,0.5739
21946,1.2732
29674,1.5008
11072,0.5072
45158,2.3452
22068,1.0349
126252,6.8865
4461,0.2166
20068,0.9733
3435,0.1839
26317,1.4926
45850,2.3923
24656,1.3117
22078,1.1674
50720,2.5820
3069,0.1472
30080,1.6655
44403,2.7540
25351,1.3721
19567,1.0464
20162,1.1067
13482,0.7038
3111,0.1637
34271,1.7716
36115,1.8681
20093,1.0357
10290,0.6139
21924,1.1435
6621,0.3993
6020,0.5772
40434,3.0597
32784,1.6938
34456,1.7849
11850,0.6048
6150,0.3356
51529,2.7469
19039,0.9963
20028,1.0192
45728,2.4311
10527,0.5778
16883,1.3169
42667,2.4578
32565,2.0287
33146,2.1729
14748,1.0139
67647,4.0383
5000,0.2421
5606,0.2563
5573,0.2939
56084,2.9759
34997,1.8629
18440,1.0099
21207,1.0738
7287,0.3848
59066,3.7123
15615,0.8305
2284,0.1129
43742,2.4303
29840,1.6089
4170,0.2153
33748,1.7934
29576,1.5482
12106,0.6190
12949,0.7960
12852,0.6812
55360,3.2396
15253,0.8305
7809,0.3710
21226,1.1908
18456,0.9552
11439,0.6194
3289,0.2002
41025,2.1190
49317,2.5821
26059,1.7117
15909,1.2698
44211,2.5374
5903,0.2837
14284,0.7055
3817,0.1958
63432,3.5692
12082,0.8356
39861,2.6473
50127,2.6013
54222,2.6266
6519,0.3149
17313,0.9992
12999,0.7492
5271,0.2740
12826,0.6483
29627,1.3792
31266,1.4908
29918,1.4888
53432,2.7692
48495,2.5469
5990,0.3919
12406,0.6914
32867,1.5915
